screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Sat Sep 08 21:08:41 +0000 2018|So true! ?Mr. Trump remains the single most popular figure in the Republican Party, whose fealty has helped buoy candidates in competitive Republican primaries and remains a hot commodity among general election candidates.?  Nicholas Fandos, @nytimes|16202|72758
realDonaldTrump|Sat Sep 08 15:45:28 +0000 2018|Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax, and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA|28124|111571
realDonaldTrump|Sat Sep 08 14:51:29 +0000 2018|We are breaking all Jobs and Economic Records but, importantly, our Country has TREMENDOUS FUTURE POTENTIAL. We have just begun!|24366|102385
realDonaldTrump|Sat Sep 08 14:47:08 +0000 2018|?To this point, President Trump?s achievements are unprecedented.?  @LouDobbs|15362|67778
realDonaldTrump|Sat Sep 08 14:44:29 +0000 2018|Dave Hughes is running for Congress in the Great State of Minnesota. He will help us accomplish our America First policies, is strong on Crime, the Border, our 2nd Amendmen, Trade, Military and Vets. Running against Pelosi Liberal Puppet Petterson. Dave has my Total Endorsement!|16009|62758
realDonaldTrump|Fri Sep 07 21:39:37 +0000 2018|14 days for $28 MILLION - $2 MILLION a day, No Collusion. A great day for America!|21052|86620
realDonaldTrump|Fri Sep 07 20:16:18 +0000 2018|?Unprecedented Jobs Growth Streak Continues as Wages Rise? https://t.co/Mk0WSyjdOe|14668|56069
realDonaldTrump|Fri Sep 07 16:35:57 +0000 2018|Under our horrible immigration laws, the Government is frequently blocked from deporting criminal aliens with violent felony convictions. House GOP just passed a bill to increase our ability to deport violent felons (Crazy Dems opposed). Need to get this bill to my desk fast!|30184|111882
realDonaldTrump|Fri Sep 07 11:32:32 +0000 2018|The Woodward book is a scam. I don?t talk the way I am quoted. If I did I would not have been elected President. These quotes were made up. The author uses every trick in the book to demean and belittle. I wish the people could see the real facts - and our country is doing GREAT!|29179|125962
realDonaldTrump|Fri Sep 07 11:11:49 +0000 2018|Matt Rosendale will be a Great Senator from a Great State, Montana! He is a fighter who will be tough on Crime and the Border, fight hard for our 2nd Amendment and loves our Military and our Vets. He has my full and complete Endorsement!|15906|67938
