screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Sat Apr 14 12:21:00 +0000 2018|A perfectly executed strike last night. Thank you to France and the United Kingdom for their wisdom and the power of their fine Military. Could not have had a better result. Mission Accomplished!|41544|194660
realDonaldTrump|Sat Apr 14 01:31:56 +0000 2018|https://t.co/6VLQYAlcto|34859|100854
realDonaldTrump|Fri Apr 13 19:36:27 +0000 2018|DOJ just issued the McCabe report - which is a total disaster. He LIED! LIED! LIED! McCabe was totally controlled by Comey - McCabe is Comey!! No collusion, all made up by this den of thieves and lowlifes!|34913|122879
realDonaldTrump|Fri Apr 13 16:21:16 +0000 2018|We are bringing back our factories, we are bringing back our jobs, and we are bringing back those four beautiful words: MADE IN THE USA! https://t.co/grABSrYUBX|24282|108254
realDonaldTrump|Fri Apr 13 12:17:37 +0000 2018|....untruthful slime ball who was, as time has proven, a terrible Director of the FBI. His handling of the Crooked Hillary Clinton case, and the events surrounding it, will go down as one of the worst ?botch jobs? of history. It was my great honor to fire James Comey!|33494|138585
realDonaldTrump|Fri Apr 13 12:01:47 +0000 2018|James Comey is a proven LEAKER &amp; LIAR. Virtually everyone in Washington thought he should be fired for the terrible job he did-until he was, in fact, fired. He leaked CLASSIFIED information, for which he should be prosecuted. He lied to Congress under OATH. He is a weak and.....|31850|123508
realDonaldTrump|Fri Apr 13 11:44:51 +0000 2018|Tremendous pressure is building, like never before, for the Border Wall and an end to crime cradling Sanctuary Cities. Started the Wall in San Diego, where the people were pushing really hard to get it. They will soon be protected!|22131|105757
realDonaldTrump|Fri Apr 13 03:15:16 +0000 2018|Would only join TPP if the deal were substantially better than the deal offered to Pres. Obama. We already have BILATERAL deals with six of the eleven nations in TPP, and are working to make a deal with the biggest of those  nations, Japan, who has hit us hard on trade for years!|16012|76584
realDonaldTrump|Thu Apr 12 19:03:57 +0000 2018|America?s greatest treasure is our people ? and my Administration HEARS YOUR VOICE and HAS YOUR BACK. We are fighting to give every American a future of dignity, purpose and pride. AMERICAN SPIRIT is back! #TaxCuts https://t.co/oSGZe0irBf|19178|79071
realDonaldTrump|Thu Apr 12 18:32:30 +0000 2018|Thank you to all of the American workers who travelled here today! This event is dedicated to YOU: the hardworking Americans who make this nation run. You love your country, you provide for your family, you have PRIDE in your work and you cherish our GREAT AMERICAN FLAG! #TaxCuts https://t.co/RwaLpCRPh5|13669|63868
realDonaldTrump|Thu Apr 12 16:46:15 +0000 2018|I have agreed with the historically cooperative, disciplined approach that we have engaged in with Robert Mueller (Unlike the Clintons!). I have full confidence in Ty Cobb, my Special Counsel, and have been fully advised throughout each phase of this process.|15986|80712
realDonaldTrump|Thu Apr 12 16:42:54 +0000 2018|On Yom HaShoah we remember the six million Jews slaughtered in the Holocaust. With each passing year, our duty to remember this atrocity increases as we pledge #NeverAgain. #HolocaustRemembranceDay https://t.co/tyga4VtjLT|16157|64214
realDonaldTrump|Thu Apr 12 10:37:16 +0000 2018|Good luck to Mike Pompeo during his Confirmation Hearing today. He will be a great Secretary of State!|11856|60782
realDonaldTrump|Thu Apr 12 10:15:25 +0000 2018|Never said when an attack on Syria would take place. Could be very soon or not so soon at all! In any event, the United States, under my Administration, has done a great job of ridding the region of ISIS. Where is our ?Thank you America??|24373|110689
realDonaldTrump|Thu Apr 12 10:08:49 +0000 2018|California Governor Jerry Brown is doing the right thing and sending the National Guard to the Border. Thank you Jerry, good move for the safety of our Country!|14138|83836
realDonaldTrump|Thu Apr 12 10:03:46 +0000 2018|If I wanted to fire Robert Mueller in December, as reported by the Failing New York Times, I would have fired him. Just more Fake News from a biased newspaper!|18341|84883
realDonaldTrump|Thu Apr 12 00:48:39 +0000 2018|Big show tonight on @seanhannity! 9:00 P.M. on @FoxNews|10592|54061
realDonaldTrump|Wed Apr 11 22:59:42 +0000 2018|Honored to have Republican Congressional Leadership join me at the @WhiteHouse this evening. Lots to discuss as we continue MAKING AMERICA GREAT AGAIN! https://t.co/b9z5Nfdkcl|10635|56502
realDonaldTrump|Wed Apr 11 19:47:07 +0000 2018|?Trump just took a giant step towards actual welfare reform? https://t.co/LQlACDDLug|15625|67491
realDonaldTrump|Wed Apr 11 15:47:46 +0000 2018|The @WhiteHouse is partnering with @Interior and @NatlParkService to bring the @NSCsafety's ?Prescribed to Death? Opioid Memorial to the Ellipse - beginning tomorrow, April 12th to April 18th. More information: https://t.co/z4FPQxt4Bl https://t.co/XvScPqvAkQ|8180|34865
realDonaldTrump|Wed Apr 11 13:50:23 +0000 2018|Speaker Paul Ryan is a truly good man, and while he will not be seeking re-election, he will leave a legacy of achievement that nobody can question. We are with you Paul!|9486|60179
realDonaldTrump|Wed Apr 11 13:00:23 +0000 2018|Much of the bad blood with Russia is caused by the Fake &amp; Corrupt Russia Investigation, headed up by the all Democrat loyalists, or people that worked for Obama. Mueller is most conflicted of all (except Rosenstein who signed FISA &amp; Comey letter). No Collusion, so they go crazy!|25640|95068
