nodo_id,tipo,etiqueta,handle,author_channel_id,video_id,channel_id,canal,comentarios,videos_comentados,autores_unicos,visualizaciones,categoria
video:fBljA_npiMs,video,Refuerzan acciones para prevenir y combatir la trata de personas,/@mingobguate,,fBljA_npiMs,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,0.0,,0.0,36.0,News & Politics
video:fenMcON-DjY,video,Encendido del Fuego Patrio y Mensaje Vicepresidencial,/@GobiernodelaRepublicadeGuatema,,fenMcON-DjY,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,0.0,,0.0,424.0,Entertainment
video:ffguGnMImL0,video,CIV inicia trabajos de bacheo y limpieza en las diferentes rutas del país,/@GobiernodeGuatemala,,ffguGnMImL0,UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,0.0,,0.0,848.0,News & Politics
video:g0aCNpZaAZ8,video,PMT de Guatemala es ejemplo para otros municipios,/@MunicipalidaddeGuatemala-1551,,g0aCNpZaAZ8,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,4103.0,News & Politics
video:gF42rhVhP8w,video,Tenemos un gran problema con la seguridad de las construcciones en Guatemala,/@TanGenteGT,,gF42rhVhP8w,UCGSQ821fpPy-yXL9mUmKbBg,TanGente Podcast,0.0,,0.0,9033.0,Entertainment
video:gbcggAMJczg,video,Dionel  Art s Vídeo danzando con la muerte,/@Dionel.Art_music,,gbcggAMJczg,UCedKfsLot_SfwJrfW5OzpPg,Dionel.Art_music,0.0,,0.0,7.0,People & Blogs
video:go4jAhCJS0w,video,Así reaccionaría la guardia presidencial de la Saas en caso de una emergencia,/@PrensaLibreOficial,,go4jAhCJS0w,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,0.0,,0.0,7381.0,News & Politics
video:hGOvuWe8P3Q,video,🔴ENTREGAN A NOROÑA ALITO NEGOCIA CON MONREAL PREPARAN MEGÁFONOS PORROS DEL PRIAN,/@VittorBlogs,,hGOvuWe8P3Q,UClivsn4u-h1uJkORB6PD9SQ,Vittor Blogs,0.0,,0.0,6682.0,News & Politics
video:hy0mwEHr6V0,video,MI3 será utilizado dentro de las evaluaciones a aspirantes a PNC,/@mingobguate,,hy0mwEHr6V0,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,0.0,,0.0,127595.0,News & Politics
video:iBX5DMQSf3s,video,Conmemoramos el 153 Aniversario de la Escuela Politécnica y Día del cadete.,/@GobiernodelaRepublicadeGuatema,,iBX5DMQSf3s,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,0.0,,0.0,1264.0,Entertainment
