nodo_id,etiqueta,grado,estado
video:DMAKF8n0XJs,Guatemala TV • ID (2024-2026),0,aislado observado
video:DX5eT-hVU8Q,250 años Ciudad de Guatemala,0,aislado observado
video:DkxSkQipYwo,PRESIDENTE BERNARDO ARÉVALO PARTICIPA EN EL ACTO CONMEMORATIVO DEL DÍA DEL EJÉRCITO,0,aislado observado
video:EGfy1BxGLIk,Colabore con las medidas de la PMT,0,aislado observado
video:ELhvo8YnYnI,Insivumeh prevé lluvias fuertes por dos ondas del este,0,aislado observado
video:EQDcEgFpXCk,Guatemala: Gobierno refuerza lucha contra las pandillas en medio de crisis de seguridad,0,aislado observado
video:EZfm-05qtWo,Municipalidad de Guatemala prepara plan de actividades en Semana Santa 2023,0,aislado observado
video:F72Rdq5crG4,Cambios en el Ministerio de Comunicaciones: Salen Lizzette Benítez y Adrián Zapata Alamilla,0,aislado observado
video:FEc1BCuBiDg,¡Estamos con ustedes!,0,aislado observado
video:FQP4JTo9ShA,Rafael Carrera y el nacimiento de Guatemala,0,aislado observado
video:FU5zLTb4inc,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,aislado observado
video:Fapc1-8m5Zc,Municipalidad de Guatemala 21/11/2025,0,aislado observado
video:Fb2Ccfq5S9w,Reo y su esposa fueron asesinados dentro del Preventivo de zona 18,0,aislado observado
video:FuTz67jS7m0,124 nuevos brigadas refuerzan la seguridad vial en Guatemala,0,aislado observado
video:G2u4Rbq7zU4,Arévalo anuncia nueva cárcel de máxima seguridad en Guatemala,0,aislado observado
video:GgU7qhmf020,Sueños GT: educación para la niñez de vendedores ambulantes en Antigua | Super - Episodio 1,0,aislado observado
video:GjGMSFSE1gY,"“Gracias a dios, no hay reelección” 🤡",0,aislado observado
video:HMJXf1VdM5E,Lluvia inusual de Martes Santo provoca inundaciones en zona 1 de Villa Nueva,0,aislado observado
video:H_TGv_cMwww,PMT: La fuerza laboral reguladora del tránsito más grande,0,aislado observado
video:I277M6i4jnY,Gestión del Riesgo de Desastres desde las comunidades.,0,aislado observado
